,disponent_inhabitants_ratio,owner_card_type_gold,no. of transactions,balance_min,balance_min_debit,balance_min_credit,amount_min_1995_debit,amount_min_1996_debit,loan_payments,loan_status,loan_id
0,1.0,0.0,54.0,1100.0,10508.0,1100.0,0.0,0.0,3373.0,1,4959
1,0.0,0.0,80.0,715.0,715.0,1000.0,14.6,14.6,2523.0,-1,4961
2,0.0,0.0,125.0,700.0,17413.7,700.0,14.6,14.6,6915.0,1,4973
3,0.853,0.0,31.0,200.0,35900.5,200.0,0.0,100.0,7370.0,1,4996
4,0.483,0.0,30.0,500.0,24170.0,500.0,0.0,0.0,8734.0,1,5002
5,0.0,0.0,61.0,300.0,22488.1,300.0,0.0,0.0,2577.0,1,5032
6,0.0,0.0,70.0,600.0,21976.8,600.0,0.0,0.0,1683.0,1,5044
7,0.0,0.0,88.0,-243.3,-243.3,200.0,14.6,0.0,7801.0,-1,5045
8,0.0,0.0,61.0,900.0,20212.0,900.0,0.0,0.0,4201.0,-1,5060
9,0.0,0.0,56.0,900.0,24213.6,900.0,14.6,14.6,4383.0,1,5082
10,0.0,0.0,77.0,400.0,17217.2,400.0,14.6,14.6,3798.0,1,5088
11,0.899,0.0,51.0,500.0,15853.7,500.0,14.6,0.0,1522.0,1,5125
12,0.0,0.0,64.0,-1069.7,-1069.7,300.0,0.0,0.0,4336.0,-1,5126
13,0.0,0.0,61.0,-3424.6,-3424.6,-3393.6,14.6,6.8,4492.0,-1,5128
14,0.0,0.0,78.0,1100.0,20296.4,1100.0,0.0,0.0,2026.0,1,5130
15,0.0,0.0,117.0,200.0,20128.7,200.0,4514.0,0.0,2026.0,1,5131
16,0.0,0.0,58.0,200.0,14837.0,200.0,14.6,0.0,8975.0,1,5132
17,0.0,0.0,25.0,300.0,42552.7,300.0,0.0,14.6,7796.0,1,5136
18,0.0,0.0,148.0,700.0,20088.9,700.0,14.6,0.0,1817.0,1,5138
19,0.0,0.0,35.0,700.0,31194.0,700.0,14.6,0.0,6449.0,1,5145
20,0.623,0.0,94.0,300.0,29633.6,300.0,14.6,14.6,4738.0,1,5148
21,0.0,0.0,30.0,200.0,31211.5,200.0,100.0,0.0,3151.0,1,5151
22,0.0,0.0,65.0,400.0,17219.9,400.0,14.6,0.0,3400.0,1,5160
23,0.0,0.0,14.0,500.0,23793.1,500.0,0.0,0.0,4091.0,1,5161
24,0.0,0.0,41.0,800.0,15124.2,800.0,0.0,0.0,4220.0,1,5170
25,0.0,0.0,51.0,800.0,2310.2,800.0,0.0,0.0,8023.0,-1,5176
26,0.0,0.0,54.0,200.0,18921.5,200.0,0.0,0.0,3105.0,1,5189
27,0.0,0.0,108.0,-974.6,-974.6,300.0,0.4,0.0,2077.0,-1,5208
28,0.0,0.0,40.0,600.0,20631.0,600.0,0.0,14.6,3805.0,1,5209
29,0.0,0.0,86.0,700.0,17935.8,700.0,14.6,0.0,1974.0,1,5212
30,0.0,0.0,90.0,800.0,37807.1,800.0,14.6,0.0,1889.0,1,5237
31,0.0,0.0,65.0,-2564.7,-2564.7,900.0,0.0,0.0,4557.0,-1,5269
32,0.0,0.0,120.0,-2838.8,-2838.8,-2724.5,100.0,2.4,8094.0,-1,5282
33,0.0,0.0,51.0,900.0,16007.1,900.0,0.0,0.0,6578.0,1,5285
34,0.0,0.0,10.0,800.0,19827.0,800.0,0.0,200.0,3943.0,1,5301
35,0.0,0.0,120.0,600.0,15263.6,600.0,14.6,0.0,6893.0,1,5310
36,0.0,0.0,186.0,500.0,12845.5,500.0,14.6,14.6,501.0,1,5311
37,0.0,0.0,79.0,1100.0,25107.3,1100.0,30.0,30.0,5633.0,1,5312
38,0.0,0.0,4.0,1100.0,0.0,1100.0,0.0,0.0,8033.0,-1,5314
39,0.0,0.0,37.0,700.0,23795.0,700.0,0.0,0.0,4610.0,1,5316
40,0.0,0.0,46.0,300.0,12922.6,300.0,0.0,0.0,3991.0,1,5319
41,0.0,0.0,25.0,1000.0,31697.8,1000.0,0.0,0.0,2939.0,1,5325
42,0.0,0.0,95.0,500.0,24882.6,500.0,30.0,30.0,6602.0,1,5329
43,0.81,0.0,15.0,700.0,26746.9,700.0,0.0,1100.0,4513.0,1,5337
44,0.0,0.0,60.0,900.0,4557.3,900.0,30.0,30.0,5194.0,1,5350
45,0.0,0.0,129.0,900.0,21136.3,900.0,0.0,0.0,5700.0,1,5351
